Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,cinco,Vieirua de Carvalho,-46.312424,-23.653426,F
Sé,Batekoo apresenta CarnaKOO,2017-02-25T00:00:00Z,18:00,seis,Largo do Arouche,-46.63611,-23.5475,G
Mooca,Batuca-Bresser,2017-02-18T00:00:00Z,14:00,inicio,rua Drua Almeida Lima,-46.63611,-23.5475,A
Mooca,Batuca-Bresser,2017-02-18T00:00:00Z,14:00,quatro,seguindo,-46.444124,-23.607886,E
Mooca,Batuca-Bresser,2017-02-18T00:00:00Z,14:00,cinco,a rua Drua Almeida Lima,-46.63611,-23.5475,F
Itaim Paulista,BatucAfro,2017-02-18T00:00:00Z,14:00,inicio,praca Silva Teles,-46.40039,-23.497469,A
Itaim Paulista,BatucAfro,2017-02-18T00:00:00Z,14:00,um,saida pela rua Durval Vilela,-46.63611,-23.5475,B
Itaim Paulista,BatucAfro,2017-02-18T00:00:00Z,14:00,tres,virar a rua Capitao Eugenio de Macedo,-46.63611,-23.5475,D
Itaim Paulista,BatucAfro,2017-02-18T00:00:00Z,14:00,cinco,pegar a rua Barena,-46.400069,-23.498895,F
Itaim Paulista,BatucAfro,2017-02-18T00:00:00Z,14:00,seis,voltar a rua Durval Vilalva e,-46.63611,-23.5475,G
Vila Mariana,Batucalacatuca,2017-03-04T00:00:00Z,10:00,um,entrua Diogo Jacome,-46.669896,-23.596293,B
Penha,BC de Rua Banda das Cachorras,2017-03-04T00:00:00Z,19:00,um,Rua Antonio de Souza Campos,-46.525525,-23.536031,B
Penha,BC de Rua Banda das Cachorras,2017-03-04T00:00:00Z,19:00,dois,Praca Dom Duarte Leopoldo,-46.527198,-23.535137,C
Penha,BC de Rua Banda das Cachorras,2017-03-04T00:00:00Z,19:00,tres,Rua Pedrua Alexandrino,-46.63611,-23.5475,D
Penha,BC de Rua Banda das Cachorras,2017-03-04T00:00:00Z,19:00,quatro,Avenida Melchert,-46.528682,-23.537913,E
Penha,BC de Rua Banda das Cachorras,2017-03-04T00:00:00Z,19:00,cinco,Avenida Marcondes de Brito,-46.52528,-23.537251,F
Santana/Tucuruvi,"BC UNIDOS DO JARDIM SÃO PAULO",2017-02-25T00:00:00Z,12:00,inicio,RUA CARLOS LAET,-46.63611,-23.5475,A
Santana/Tucuruvi,"BC UNIDOS DO JARDIM SÃO PAULO",2017-02-25T00:00:00Z,12:00,um,RUA PARQUE DOMINGOS LUIS  RUA CASTRO MAIA,-46.63611,-23.5475,B
Santana/Tucuruvi,"BC UNIDOS DO JARDIM SÃO PAULO",2017-02-25T00:00:00Z,12:00,dois,AVENIDA LEONCIO DE MAGALHAES RUA CARLOS LAET,-46.63611,-23.5475,C
Santana/Tucuruvi,BC VIRACOPO TUCURUVI,2017-02-18T00:00:00Z,13:00,inicio,Av. Santos Dumont C,-46.63611,-23.5475,A
Santana/Tucuruvi,BC VIRACOPO TUCURUVI,2017-02-18T00:00:00Z,13:00,um,B (Pista Local). DesfileAv. Santos Domont entrua Av. Gal. Pedrua Leon Schneider,-46.63611,-23.5475,B
Sé,Beat Box,2017-02-26T00:00:00Z,11:00,inicio,rua matias aires,-46.658301,-23.554844,A
Sé,Beat Box,2017-02-26T00:00:00Z,11:00,um,rua augusta,-46.651746,-23.551776,B
Sé,Beat Box,2017-02-26T00:00:00Z,11:00,dois,rua augusta,-46.651746,-23.551776,C
Sé,Beat Box,2017-02-26T00:00:00Z,11:00,tres,rua martins fontes,-46.644333,-23.549272,D
Sé,Beat Loko,2017-02-25T00:00:00Z,14:00,inicio,Vale do Anhangabau,-46.636521,-23.545234,A
Sé,Beat Loko,2017-02-25T00:00:00Z,14:00,um,em frente a praca dos Correios,-46.63611,-23.5475,B
Sé,Beat Loko,2017-02-25T00:00:00Z,14:00,tres,o Viaduto do Cha.,-46.636831,-23.547091000000002,D
Pinheiros,Besta é Tu,2017-02-18T00:00:00Z,13:00,inicio,rua Girassol,-46.574626,-23.434489,A
Pinheiros,Besta é Tu,2017-02-18T00:00:00Z,13:00,um, a Rua Purpurina,-46.691045,-23.553815,B
